CNPJ do Administrador (Agente de Registro),CNPJ do,Prestador de Serviço é o Gestor do Fundo (S/N),CNPJ DA CARTEIRA,CNPJ do Pagador pelos Serviços da CERC,Trading Name, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,11.261.368/0001-20,11.261.368/0001-20,ALFA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,11.370.045/0001-74,11.370.045/0001-74,G5 CREDIJUS CRÉDITOS JUDICIAIS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,11.468.186/0001-24,11.468.186/0001-24,ATLANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,11.507.489/0001-09,11.507.489/0001-09,BFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,11.629.795/0001-18,11.629.795/0001-18,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS EXODUS INSTITUCIONAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.093.804/0001-61,12.093.804/0001-61,CAPITAL ANNEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.167.116/0001-07,12.167.116/0001-07,VIAINVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.182.585/0001-97,12.182.585/0001-97,AGRO 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.227.850/0001-06,12.227.850/0001-06,G5 BR INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.400.421/0001-99,12.400.421/0001-99,LIBRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.400.426/0001-11,12.400.426/0001-11,MOKA FUND I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.428.086/0001-37,12.428.086/0001-37,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL BS NP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.712.606/0001-39,12.712.606/0001-39,IGUANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.764.295/0001-51,12.764.295/0001-51,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ARM - NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.813.212/0001-77,12.813.212/0001-77,RNX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.910.431/0001-74,12.910.431/0001-74,MEINBERG FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.910.463/0001-70,12.910.463/0001-70,CAPITAL RS NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,12.956.543/0001-66,12.956.543/0001-66,CAMBUI FINANÇAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.098.860/0001-51,13.098.860/0001-51,GFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICRÉDITO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.348.521/0001-86,13.348.521/0001-86,RDG NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.387.221/0001-06,13.387.221/0001-06,AMIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.416.131/0001-04,13.416.131/0001-04,EGM NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.425.492/0001-09,13.425.492/0001-09,ACTIVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL NÃO PADRONIZADOS LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.633.964/0001-19,13.633.964/0001-19,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL INVEST DUNAS LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.767.420/0001-40,13.767.420/0001-40,FUNDO DE INVESTIMENTO EM DIREITOS CREDI VAREJO BR, ,,,
