CNPJ do Administrador (Agente de Registro),CNPJ do,Prestador de Serviço é o Gestor do Fundo (S/N),CNPJ DA CARTEIRA,CNPJ do Pagador pelos Serviços da CERC,Trading Name, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.216.398/0001-01,23.216.398/0001-01,MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.216.640/0001-39,23.216.640/0001-39,JC SILOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.246.620/0001-00,23.246.620/0001-00,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MARTE FORNECEDORES, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.273.905/0001-30,23.273.905/0001-30,CREDSHOW FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS VAREJO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.274.015/0001-43,23.274.015/0001-43,KREDITARE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.426.441/0001-55,23.426.441/0001-55,MULTIPLIK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.520.837/0001-67,23.520.837/0001-67,DIVALLORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.521.077/0001-02,23.521.077/0001-02,CONSIGA MAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.750.225/0001-60,23.750.225/0001-60,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRAÇÃO FINANCEIRA, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.798.073/0001-76,23.798.073/0001-76,JC PLÁSTICOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS - FIDC - NP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.798.103/0001-44,23.798.103/0001-44,JC CRÉDITO-PRÊMIO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS-FIDC-NP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.884.799/0001-21,23.884.799/0001-21,FIDC BRASIL PLURAL RECUPERAÇÃO DE CRÉDITO FIDC NP II, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.954.863/0001-01,23.954.863/0001-01,JC 4870 IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC-NP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.956.882/0001-69,23.956.882/0001-69,SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.956.961/0001-70,23.956.961/0001-70,RIDOLFINVEST 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.956.975/0001-93,23.956.975/0001-93,VERITAS FORSETI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.957.002/0001-79,23.957.002/0001-79,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA RECARGA VIRTUAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.957.002/0001-79,23.957.002/0001-79,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA RECARGA VIRTUAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.957.002/0001-79,23.957.002/0001-79,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA RECARGA VIRTUAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,23.957.002/0001-79,23.957.002/0001-79,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA RECARGA VIRTUAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.220.859/0001-74,24.220.859/0001-74,DIP FINANCING 11 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.237.625/0001-30,24.237.625/0001-30,TERRA NOVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.290.695/0001-51,24.290.695/0001-51,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NAO-PADRONIZADOS VALECRED, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.426.716/0001-13,24.426.716/0001-13,ESMERALDA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.445.329/0001-24,24.445.329/0001-24,ASPEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.504.464/0001-01,24.504.464/0001-01,OXSS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.506.071/0001-29,24.506.071/0001-29,VIA CAPITAL ARTEMUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.506.071/0001-29,24.506.071/0001-29,VIA CAPITAL ARTEMUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.506.241/0001-75,24.506.241/0001-75,ACL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.506.265/0001-24,24.506.265/0001-24,VERSATIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.546.098/0001-45,24.546.098/0001-45,GII GESTAO INTELIGENTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.796.631/0001-27,24.796.631/0001-27,EVOLVE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,24.987.402/0001-90,24.987.402/0001-90,SEJA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,25.080.500/0001-01,25.080.500/0001-01,VALE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,25.246.617/0001-12,25.246.617/0001-12,DIP FINANCING 11 FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,25.295.530/0001-35,25.295.530/0001-35,HIGH YIELD DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,25.382.606/0001-60,25.382.606/0001-60,URA AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,25.695.170/0001-69,25.695.170/0001-69,INVESTCAMP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,25.970.315/0001-92,25.970.315/0001-92,DELPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.199.686/0001-85,26.199.686/0001-85,RIO DOCE FUNDO DE INVESTIMENTO  EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.199.799/0001-80,26.199.799/0001-80,TARISUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.208.267/0001-62,26.208.267/0001-62,C&J FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.208.281/0001-66,26.208.281/0001-66,JC CACAU FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.208.328/0001-91,26.208.328/0001-91,ÁRTICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.380.651/0001-48,26.380.651/0001-48,SF4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.459.204/0001-89,26.459.204/0001-89,JAPUÍRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.459.204/0001-89,26.459.204/0001-89,JAPUÍRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.471.075/0001-44,26.471.075/0001-44,JC 4870 V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.506.898/0001-68,26.506.898/0001-68,TREVISO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.545.364/0001-40,26.545.364/0001-40,MT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PARADONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.545.451/0001-06,26.545.451/0001-06,FORNECEDORES BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.558.776/0001-15,26.558.776/0001-15,WNT AÇÕES JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS-NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.558.785/0001-06,26.558.785/0001-06,QT UNIQUE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.570.645/0001-53,26.570.645/0001-53,JC 4870 VI - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.648.752/0001-57,26.648.752/0001-57,RESQ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.648.770/0001-39,26.648.770/0001-39,G5 SPECIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.648.789/0001-85,26.648.789/0001-85,PROJEÇÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.648.789/0001-85,26.648.789/0001-85,PROJEÇÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.648.789/0001-85,26.648.789/0001-85,PROJEÇÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.648.789/0001-85,26.648.789/0001-85,PROJEÇÃO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.690.373/0001-25,26.690.373/0001-25,SIMPLIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.690.689/0001-17,26.690.689/0001-17,CONTINENTALBANCO NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - NAO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.704.185/0001-09,26.704.185/0001-09,MTR 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.756.123/0001-40,26.756.123/0001-40,BERGAMO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.756.123/0001-40,26.756.123/0001-40,BERGAMO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.756.137/0001-64,26.756.137/0001-64,BASSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.913.809/0001-06,26.913.809/0001-06,PROA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,26.984.508/0001-65,26.984.508/0001-65,OCEAN ASSET FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.217.664/0001-63,27.217.664/0001-63,JPI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.326.119/0001-05,27.326.119/0001-05,EVOLUT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.326.119/0001-05,27.326.119/0001-05,EVOLUT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.326.119/0001-05,27.326.119/0001-05,EVOLUT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.326.119/0001-05,27.326.119/0001-05,EVOLUT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.531.244/0001-57,27.531.244/0001-57,ONDABRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.771.613/0001-89,27.771.613/0001-89,CONQUEST BRAZIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.771.613/0001-89,27.771.613/0001-89,CONQUEST BRAZIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.771.613/0001-89,27.771.613/0001-89,CONQUEST BRAZIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.771.613/0001-89,27.771.613/0001-89,CONQUEST BRAZIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.944.660/0001-87,27.944.660/0001-87,FACT LAW FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.944.815/0001-85,27.944.815/0001-85,PRIMEIRA LINHA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.944.815/0001-85,27.944.815/0001-85,PRIMEIRA LINHA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.944.815/0001-85,27.944.815/0001-85,PRIMEIRA LINHA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.944.815/0001-85,27.944.815/0001-85,PRIMEIRA LINHA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,27.974.792/0001-51,27.974.792/0001-51,ÓREAS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.079.873/0001-50,28.079.873/0001-50,MULTIPLIKE INVESTIMENTOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILI, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.194.790/0001-02,28.194.790/0001-02,ATICCA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.194.817/0001-67,28.194.817/0001-67,CREDVALE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.240.255/0001-40,28.240.255/0001-40,MARINO INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.240.255/0001-40,28.240.255/0001-40,MARINO INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.240.255/0001-40,28.240.255/0001-40,MARINO INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.240.255/0001-40,28.240.255/0001-40,MARINO INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.254.169/0001-97,28.254.169/0001-97,VEGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.651.441/0001-72,28.651.441/0001-72,VERMILLION I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.671.036/0001-16,28.671.036/0001-16,WFR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.671.081/0001-70,28.671.081/0001-70,HERCULES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.879.529/0001-46,28.879.529/0001-46,CREDISA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.879.551/0001-96,28.879.551/0001-96,NOVAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,28.880.384/0001-01,28.880.384/0001-01,GENOVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.109.292/0001-87,29.109.292/0001-87,PINARELLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.109.316/0001-06,29.109.316/0001-06,DFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.109.350/0001-72,29.109.350/0001-72,JC DIVERSIFICADO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.109.383/0001-12,29.109.383/0001-12,CAPITAL FINANÇAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.109.411/0001-00,29.109.411/0001-00,JC DIVERSIFICADO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.152.636/0001-30,29.152.636/0001-30,ACREDITAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.226.654/0001-10,29.226.654/0001-10,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.226.654/0001-10,29.226.654/0001-10,INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.226.704/0001-69,29.226.704/0001-69,OPERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.236.389/0001-50,29.236.389/0001-50,TREVYS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.236.426/0001-20,29.236.426/0001-20,SIGMA CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.242.877/0001-70,29.242.877/0001-70,AVANTI MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.242.908/0001-93,29.242.908/0001-93,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGORA TELECOM, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.242.913/0001-04,29.242.913/0001-04,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NEON FGTS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.242.916/0001-30,29.242.916/0001-30,JUNTOS CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.242.926/0001-75,29.242.926/0001-75,CONSIGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.242.933/0001-77,29.242.933/0001-77,FORZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.243.004/0001-82,29.243.004/0001-82,LIMAJ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.461.840/0001-33,29.461.840/0001-33,SIGMA CREDIT FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.461.950/0001-03,29.461.950/0001-03,VEGA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.469.420/0001-01,29.469.420/0001-01,MULTIPLIKE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.469.502/0001-48,29.469.502/0001-48,JC DIVERSIFICADO V FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.469.886/0001-07,29.469.886/0001-07,JC DIVERSIFICADO VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.613.776/0001-69,29.613.776/0001-69,DAVOS ADONAI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.953.928/0001-72,29.953.928/0001-72,META FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.957.532/0001-01,29.957.532/0001-01,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SABIA CREDIT, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.969.815/0001-65,29.969.815/0001-65,ALAMIN CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.970.181/0001-60,29.970.181/0001-60,LINK BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,29.970.251/0001-80,29.970.251/0001-80,SOLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.035.329/0001-59,30.035.329/0001-59,VIAINVEST II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.127.068/0001-05,30.127.068/0001-05,ELDORADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.283.448/0001-20,30.283.448/0001-20,FATOR INNOVATION FIAGRO - DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.283.468/0001-00,30.283.468/0001-00,CANAL 26 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.283.991/0001-28,30.283.991/0001-28,ZEUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.284.028/0001-69,30.284.028/0001-69,ATF I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.332.581/0001-20,30.332.581/0001-20,QUATA ARCEL NPL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.366.150/0001-84,30.366.150/0001-84,SB CRÉDITO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.659.203/0001-55,30.659.203/0001-55,APPALOOSA FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
